scenario,method,seed,success,planning_time,first_solution_iteration,node_count,path_length
hybrid_row_corridor,RRT*,11,1,3.0776679515838623,168,217,114.24814848757607
hybrid_row_corridor,GoalBias,11,1,3.947448968887329,235,243,196.67956989371203
hybrid_row_corridor,Hybrid,11,1,1.2673380374908447,54,82,133.3642392154295
hybrid_row_corridor,RRT*,12,1,6.162039041519165,336,300,183.48304452964217
hybrid_row_corridor,GoalBias,12,1,11.590774059295654,693,553,142.82074879252343
hybrid_row_corridor,Hybrid,12,1,1.0925190448760986,33,65,108.6956521430567
hybrid_row_corridor,RRT*,13,1,14.078818082809448,700,725,176.18168150213214
hybrid_row_corridor,GoalBias,13,1,2.4823989868164062,173,144,134.26955804298194
hybrid_row_corridor,Hybrid,13,1,1.3125629425048828,39,93,83.40445723840753
hybrid_row_corridor,RRT*,14,1,12.857020854949951,609,643,136.70542080173684
hybrid_row_corridor,GoalBias,14,1,1.775629997253418,63,110,118.4809931784207
hybrid_row_corridor,Hybrid,14,1,23.417701959609985,549,511,148.47256709812746
hybrid_row_corridor,RRT*,15,1,6.0921690464019775,350,313,146.97736740001
hybrid_row_corridor,GoalBias,15,1,1.7743000984191895,90,137,134.27376727129564
hybrid_row_corridor,Hybrid,15,1,1.5609369277954102,69,103,126.24061002958523
hybrid_row_corridor,RRT*,16,1,5.329622030258179,233,253,159.2595826788971
hybrid_row_corridor,GoalBias,16,1,6.124799013137817,407,284,138.84773629573402
hybrid_row_corridor,Hybrid,16,1,41.773521184921265,642,625,187.37029763285818
