pair_id,start_index,goal_index,seed,config_name,success,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,planning_time,path_length,num_nodes,first_solution_iter,num_path_points,error
28,2,8,1783025184,GoalBias,True,9.402165688583784,6.377218545085918,0.5734978366690906,32.29498145791376,21.164021366355975,0.5734978366690906,0.2732300410280004,41.823261939535506,85,46,525,
28,2,8,1783025184,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.5734978366690906,32.29498145791376,21.164021366355975,0.5734978366690906,0.8334609579760581,52.35257641901295,169,456,664,
29,2,9,1813720780,Baseline,True,9.402165688583784,6.377218545085918,0.531359060105232,35.63540730704127,21.795651329658106,0.531359060105232,0.8313034169841558,50.37241109738199,236,122,602,
29,2,9,1813720780,GoalBias,True,9.402165688583784,6.377218545085918,0.531359060105232,35.63540730704127,21.795651329658106,0.531359060105232,0.4343291249824688,53.94125532974999,102,256,688,
29,2,9,1813720780,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.531359060105232,35.63540730704127,21.795651329658106,0.531359060105232,0.86908566695638,47.641436576120256,185,455,584,
30,3,0,2092799309,Baseline,True,5.366740177023946,7.249673067872619,0.41276674420171444,43.536932303325806,23.965337940458376,0.41276674420171444,1.3994904579594731,72.95926280636587,305,255,865,
30,3,0,2092799309,GoalBias,True,5.366740177023946,7.249673067872619,0.41276674420171444,43.536932303325806,23.965337940458376,0.41276674420171444,1.1093575418926775,50.040846167446084,272,59,637,
30,3,0,2092799309,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.41276674420171444,43.536932303325806,23.965337940458376,0.41276674420171444,0.5077478749444708,67.73282833360567,149,220,819,
31,3,1,347892462,Baseline,True,5.366740177023946,7.249673067872619,0.5800372031843279,36.52479356325202,27.66510336305589,0.5800372031843279,1.028474707971327,57.293483820958855,261,221,672,
31,3,1,347892462,GoalBias,True,5.366740177023946,7.249673067872619,0.5800372031843279,36.52479356325202,27.66510336305589,0.5800372031843279,0.27344058302696794,47.543794520324155,95,58,567,
31,3,1,347892462,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.5800372031843279,36.52479356325202,27.66510336305589,0.5800372031843279,0.3362494580214843,58.58946086466832,112,104,745,
32,3,2,2001068412,Baseline,True,5.366740177023946,7.249673067872619,0.571644730693504,27.049089991906214,21.197743441899785,0.571644730693504,0.8339726659469306,31.619752432854288,216,77,375,
32,3,2,2001068412,GoalBias,True,5.366740177023946,7.249673067872619,0.571644730693504,27.049089991906214,21.197743441899785,0.571644730693504,0.8254810839425772,34.023251698616626,272,37,431,
32,3,2,2001068412,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.571644730693504,27.049089991906214,21.197743441899785,0.571644730693504,0.3069819170050323,43.33679039882899,84,85,524,
33,3,3,1104664426,Baseline,True,5.366740177023946,7.249673067872619,0.7057836586177011,28.33769613415263,26.826067642436417,0.7057836586177011,0.9659062499413267,40.33260310365553,238,167,489,
33,3,3,1104664426,GoalBias,True,5.366740177023946,7.249673067872619,0.7057836586177011,28.33769613415263,26.826067642436417,0.7057836586177011,0.813574832980521,40.17599368850153,273,21,503,
33,3,3,1104664426,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.7057836586177011,28.33769613415263,26.826067642436417,0.7057836586177011,0.26213379204273224,34.33519957863333,99,31,437,
34,3,4,1543835470,Baseline,True,5.366740177023946,7.249673067872619,0.6607150847281678,25.79721209379483,23.129285095962924,0.6607150847281678,0.9857489579590037,41.873092382911494,200,128,486,
34,3,4,1543835470,GoalBias,True,5.366740177023946,7.249673067872619,0.6607150847281678,25.79721209379483,23.129285095962924,0.6607150847281678,3.90969766699709,40.63842302488544,305,622,483,
34,3,4,1543835470,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.6607150847281678,25.79721209379483,23.129285095962924,0.6607150847281678,0.22657120903022587,44.030808874559966,82,53,541,
35,3,5,1610818220,Baseline,True,5.366740177023946,7.249673067872619,0.6699031753566338,29.58524851460567,26.433070902339733,0.6699031753566338,1.1390664170030504,67.4941090291628,280,231,795,
35,3,5,1610818220,GoalBias,True,5.366740177023946,7.249673067872619,0.6699031753566338,29.58524851460567,26.433070902339733,0.6699031753566338,0.2514219159493223,34.621857316916206,85,56,442,
35,3,5,1610818220,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.6699031753566338,29.58524851460567,26.433070902339733,0.6699031753566338,0.23348412499763072,40.98068265147464,86,47,520,
36,3,6,558362111,Baseline,True,5.366740177023946,7.249673067872619,0.4871176528824739,42.829982474122566,27.093631695563825,0.4871176528824739,1.6416096250759438,57.6668581712799,332,292,687,
36,3,6,558362111,GoalBias,True,5.366740177023946,7.249673067872619,0.4871176528824739,42.829982474122566,27.093631695563825,0.4871176528824739,0.6311396670062095,55.62316977546662,155,395,679,
36,3,6,558362111,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.4871176528824739,42.829982474122566,27.093631695563825,0.4871176528824739,0.4060292919166386,63.924848075765425,108,190,794,
37,3,7,322765932,Baseline,True,5.366740177023946,7.249673067872619,0.7798592520854739,22.66510658510346,24.357464868132716,0.7798592520854739,0.7672993330052122,43.17425513462437,214,96,512,
37,3,7,322765932,GoalBias,True,5.366740177023946,7.249673067872619,0.7798592520854739,22.66510658510346,24.357464868132716,0.7798592520854739,4.312032999936491,28.672933912837074,253,40,357,
37,3,7,322765932,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.7798592520854739,22.66510658510346,24.357464868132716,0.7798592520854739,0.47503537498414516,56.572532805782615,128,246,696,
38,3,8,580890500,Baseline,True,5.366740177023946,7.249673067872619,0.4769335953463121,32.29498145791376,21.164021366355975,0.4769335953463121,0.5347892499994487,44.50237099930629,153,68,528,
38,3,8,580890500,GoalBias,True,5.366740177023946,7.249673067872619,0.4769335953463121,32.29498145791376,21.164021366355975,0.4769335953463121,0.5577090419828892,51.77002935976863,250,219,641,
38,3,8,580890500,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.4769335953463121,32.29498145791376,21.164021366355975,0.4769335953463121,0.8838354169856757,58.32608285491877,167,429,698,
39,3,9,1647666706,Baseline,True,5.366740177023946,7.249673067872619,0.4479768262077206,35.63540730704127,21.795651329658106,0.4479768262077206,1.6360872919904068,62.84370636725014,329,347,702,
39,3,9,1647666706,GoalBias,True,5.366740177023946,7.249673067872619,0.4479768262077206,35.63540730704127,21.795651329658106,0.4479768262077206,1.6141289160586894,70.99319940156624,336,894,886,
39,3,9,1647666706,GoalBias+Tangent,True,5.366740177023946,7.249673067872619,0.4479768262077206,35.63540730704127,21.795651329658106,0.4479768262077206,0.46676591597497463,66.16443571301149,116,220,817,
40,4,0,1593098784,Baseline,True,3.8256253661444872,5.042033536493094,0.44468927545470516,43.536932303325806,23.965337940458376,0.44468927545470516,1.844913583016023,61.12288970900625,346,365,705,
40,4,0,1593098784,GoalBias,True,3.8256253661444872,5.042033536493094,0.44468927545470516,43.536932303325806,23.965337940458376,0.44468927545470516,1.8486414169892669,53.49543499303195,177,83,684,
40,4,0,1593098784,GoalBias+Tangent,True,3.8256253661444872,5.042033536493094,0.44468927545470516,43.536932303325806,23.965337940458376,0.44468927545470516,0.7133772500092164,60.67434535785438,145,429,763,
