场景,地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
density_medium,map_0001_seed_7898237777006799159,2,GoalBias+Tangent,50,100.0,45.12,6.28,0.406,0.080,221,61
density_medium,map_0001_seed_7898237777006799159,3,Baseline,50,100.0,34.06,6.59,0.456,0.069,232,54
density_medium,map_0001_seed_7898237777006799159,3,GoalBias,50,100.0,33.40,6.94,0.465,0.176,214,41
density_medium,map_0001_seed_7898237777006799159,3,GoalBias+Tangent,50,100.0,37.55,6.58,0.381,0.057,212,41
density_medium,map_0001_seed_7898237777006799159,4,Baseline,50,100.0,40.66,7.41,0.477,0.065,239,59
density_medium,map_0001_seed_7898237777006799159,4,GoalBias,50,100.0,36.30,5.14,0.537,0.196,220,48
density_medium,map_0001_seed_7898237777006799159,4,GoalBias+Tangent,50,100.0,41.81,5.57,0.422,0.078,220,50
density_medium,map_0001_seed_7898237777006799159,5,Baseline,50,100.0,32.42,5.56,0.444,0.065,222,39
density_medium,map_0001_seed_7898237777006799159,5,GoalBias,50,100.0,32.17,6.50,0.470,0.174,206,33
density_medium,map_0001_seed_7898237777006799159,5,GoalBias+Tangent,50,100.0,36.42,6.17,0.398,0.110,202,33
density_medium,map_0001_seed_7898237777006799159,6,Baseline,50,100.0,30.70,4.90,0.465,0.090,219,34
density_medium,map_0001_seed_7898237777006799159,6,GoalBias,50,100.0,31.24,4.62,0.501,0.175,212,31
density_medium,map_0001_seed_7898237777006799159,6,GoalBias+Tangent,50,100.0,37.00,4.28,0.417,0.095,213,32
density_medium,map_0001_seed_7898237777006799159,7,Baseline,50,100.0,41.95,5.94,0.576,0.119,263,100
density_medium,map_0001_seed_7898237777006799159,7,GoalBias,50,100.0,40.34,5.07,0.607,0.206,246,96
density_medium,map_0001_seed_7898237777006799159,7,GoalBias+Tangent,50,100.0,45.06,5.59,0.514,0.134,238,98
density_medium,map_0001_seed_7898237777006799159,8,Baseline,50,100.0,42.52,5.78,0.517,0.110,243,68
density_medium,map_0001_seed_7898237777006799159,8,GoalBias,50,100.0,39.65,5.88,0.459,0.177,210,47
