safety_margin,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0.0,3,3,GoalBias,1,3.45477294921875,70,133,129.19115896944493
0.0,3,3,Hybrid,1,9.434260845184326,212,192,105.46887331061161
0.0,3,2,Hybrid,1,19.103670120239258,199,224,167.9459874056005
0.0,3,3,RRT*,1,20.255404710769653,553,535,182.4857803814484
0.0,3,4,Hybrid,1,2.109083890914917,36,84,111.94634358234377
0.0,3,5,RRT*,1,17.604907989501953,505,464,185.23938245776662
0.0,3,4,RRT*,1,34.695273876190186,783,731,154.43660242272867
0.0,3,5,GoalBias,1,22.98343014717102,525,537,168.2084118582107
0.0,3,5,Hybrid,1,7.258556127548218,103,161,116.39108027310114
0.0,3,6,RRT*,1,6.535725116729736,200,209,115.86367393153941
0.0,3,6,GoalBias,1,3.173696994781494,50,118,109.0237471793138
0.0,3,7,RRT*,1,8.126134157180786,237,261,157.126272139954
0.0,3,7,GoalBias,1,9.707054138183594,311,293,158.6653970477828
0.0,3,7,Hybrid,1,2.3246140480041504,50,84,153.04587274273015
0.0,3,4,GoalBias,1,44.528549909591675,927,655,154.55579712702257
0.0,3,8,Hybrid,1,2.7607638835906982,37,92,114.08836492722108
0.0,3,8,GoalBias,1,3.777646064758301,81,140,149.3992729421248
0.0,3,8,RRT*,1,6.592989206314087,174,244,139.6146403682851
0.0,3,9,GoalBias,1,4.054414749145508,78,139,155.82532529708777
0.0,3,9,Hybrid,1,5.738112926483154,290,156,114.82850051211818
0.0,3,9,RRT*,1,17.54532289505005,435,447,169.70194630582102
0.0,4,0,Hybrid,1,1.8911287784576416,42,74,112.2318712530907
0.0,4,0,GoalBias,1,13.948893785476685,372,325,151.1222394370324
0.0,4,0,RRT*,1,20.479168176651,511,465,183.66582689497355
0.0,4,1,GoalBias,1,3.6839139461517334,99,111,105.93609422457192
0.0,3,6,Hybrid,1,43.7468159198761,304,270,128.42238062321522
0.0,4,1,Hybrid,1,6.482341051101685,155,159,144.90861035671207
0.0,4,1,RRT*,1,13.34246301651001,472,341,155.4521854463168
0.0,4,2,Hybrid,1,2.0635602474212646,62,76,137.2106057851812
0.0,4,3,GoalBias,1,3.088513135910034,52,108,122.48770220346984
0.0,4,2,RRT*,1,10.33102822303772,250,267,146.84526919592884
0.0,4,3,Hybrid,1,8.097652912139893,445,198,141.975463634359
0.0,4,3,RRT*,1,11.786332845687866,380,368,140.71399926682443
0.0,4,4,Hybrid,1,2.9581990242004395,65,96,109.69606826830159
0.0,4,4,GoalBias,1,3.157827854156494,88,107,148.7618542209222
0.0,4,4,RRT*,1,16.434866905212402,456,435,196.65003392892515
0.0,4,5,Hybrid,1,5.58754301071167,349,153,160.68339038262525
0.0,4,2,GoalBias,1,31.57814621925354,662,629,151.63404711822284
0.0,4,5,RRT*,1,12.732484102249146,463,332,141.92364642887705
0.0,4,6,Hybrid,1,2.025158166885376,44,75,133.81454900823215
0.0,4,5,GoalBias,1,15.11248779296875,549,344,123.29977015737825
0.0,4,6,GoalBias,1,4.756808042526245,189,149,187.39033955014906
0.0,4,7,Hybrid,1,2.764069080352783,97,82,145.37584684987883
0.0,4,7,RRT*,1,6.2792041301727295,154,194,137.72411270016352
0.0,4,8,GoalBias,1,3.0744059085845947,87,97,127.33758238515652
0.0,4,8,RRT*,1,5.8084070682525635,174,175,147.6625556922947
0.0,4,8,Hybrid,1,2.2551071643829346,49,89,136.7097565843426
0.0,4,7,GoalBias,1,15.37348985671997,348,342,175.52020501115697
0.0,4,9,GoalBias,1,4.479660987854004,119,130,144.4943133693786
0.0,4,6,RRT*,1,21.591583013534546,574,526,160.77600725584577
0.0,4,9,Hybrid,1,2.574704885482788,117,81,156.04931244788597
0.15,0,0,Hybrid,1,3.4076738357543945,84,116,116.31437647676513
0.15,0,0,GoalBias,1,10.909610986709595,431,262,142.3189363375558
0.15,0,1,RRT*,1,7.066443920135498,205,211,172.7028623212601
0.15,0,1,Hybrid,1,2.1649746894836426,38,84,135.14778389453994
0.15,0,0,RRT*,1,17.576241970062256,502,440,145.6969950109954
0.15,0,1,GoalBias,1,6.816699266433716,309,186,152.88096536926963
0.0,4,9,RRT*,1,26.387634992599487,703,628,168.55842327744804
0.15,0,2,GoalBias,1,4.214130878448486,98,155,147.3778204319594
0.15,0,2,RRT*,1,11.058557033538818,351,307,176.7111363292916
0.15,0,3,GoalBias,1,7.098195314407349,261,219,170.10102120141863
0.15,0,3,RRT*,1,8.452461957931519,290,238,135.71605355660623
0.15,0,3,Hybrid,1,7.043612957000732,151,164,154.76214970610587
0.15,0,4,GoalBias,1,3.9471230506896973,144,150,115.06677863898099
0.15,0,2,Hybrid,1,16.36838698387146,540,231,180.2046707516152
0.15,0,5,GoalBias,1,5.06296706199646,145,173,135.9445653239571
0.15,0,4,Hybrid,1,11.883080959320068,248,212,155.56193142191992
0.15,0,5,RRT*,1,11.416491031646729,378,285,182.6805122336695
0.15,0,5,Hybrid,1,5.860257863998413,229,150,96.33323832283156
0.15,0,6,GoalBias,1,3.9409639835357666,85,128,115.2658516104781
0.15,0,4,RRT*,1,21.150426149368286,577,506,121.73926542443957
0.15,0,6,Hybrid,1,6.158066034317017,256,173,130.14559560245965
0.15,0,7,GoalBias,1,3.9246249198913574,81,114,114.61709246862246
0.15,0,8,RRT*,1,5.346328973770142,131,159,153.1462246270815
0.15,0,6,RRT*,1,16.908820152282715,450,409,182.20506791185295
0.15,0,7,Hybrid,1,10.542026996612549,466,216,162.11060951874245
0.15,0,8,GoalBias,1,4.756982088088989,95,148,131.94443061705186
0.15,0,8,Hybrid,1,3.015700101852417,75,105,124.82707065882346
0.15,0,9,GoalBias,1,2.840117931365967,70,107,121.60690791904683
0.15,0,9,Hybrid,1,3.666814088821411,117,136,150.17118330327554
0.15,0,7,RRT*,1,25.40686011314392,607,585,130.87326633735478
0.15,1,0,Hybrid,1,2.674730062484741,100,98,152.55214368614887
