gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
3.5,1,2,RRT*,1,8.063846826553345,401,333,147.75191146843352
3.5,1,1,RRT*,1,15.896039962768555,667,526,181.96810935296844
3.5,1,2,Hybrid,1,8.576504230499268,145,187,103.60561011171218
3.5,1,1,GoalBias,1,21.546679973602295,969,677,154.01507577934012
3.5,1,3,GoalBias,1,2.3271288871765137,71,138,105.7446552741936
3.5,1,3,Hybrid,1,1.3655149936676025,48,90,130.82495999886407
3.5,1,2,GoalBias,1,16.454638242721558,648,528,199.16952051070243
3.5,1,4,RRT*,1,14.52938961982727,507,563,135.26137666610072
3.5,1,3,RRT*,1,20.51326584815979,765,573,241.9098581056003
3.5,1,4,GoalBias,1,24.02954387664795,1006,551,112.84925998606509
3.5,1,5,GoalBias,1,9.501579999923706,442,350,197.03673769265995
3.5,1,5,Hybrid,1,7.634304046630859,328,272,172.3246913058541
3.5,1,5,RRT*,1,27.88143014907837,1253,817,252.8763624602195
3.5,1,6,GoalBias,1,3.680058002471924,162,186,130.43601213289006
3.5,1,6,RRT*,1,14.464704036712646,543,473,187.4789376670613
3.5,1,1,Hybrid,1,93.9560718536377,804,588,157.30897533428166
3.5,1,7,GoalBias,1,2.358806848526001,57,133,146.2978908713713
3.5,1,7,RRT*,1,16.8620388507843,571,541,204.2236930924053
3.5,1,6,Hybrid,1,26.936924934387207,376,292,128.2492666073758
3.5,1,7,Hybrid,1,4.510707139968872,172,168,123.52074599865675
3.5,1,8,Hybrid,1,2.577241897583008,134,147,111.26496081864848
3.5,1,8,RRT*,1,8.827629089355469,341,317,191.3340610325312
3.5,1,9,GoalBias,1,2.5788516998291016,127,143,155.82128095946632
3.5,1,8,GoalBias,1,12.975507974624634,689,423,177.17574488305996
3.5,1,9,RRT*,1,8.173078060150146,415,339,139.01766160254198
3.5,2,0,GoalBias,1,2.4614059925079346,73,123,122.38320865031206
3.5,2,0,Hybrid,1,2.553164005279541,105,119,109.73222102150078
3.5,1,9,Hybrid,1,15.024540901184082,636,358,188.73365397681047
3.5,2,0,RRT*,1,13.06496810913086,596,467,248.09252091313206
3.5,2,1,GoalBias,1,2.770421028137207,70,150,105.97168413031979
3.5,2,1,RRT*,1,12.359323978424072,559,475,188.58649316170437
3.5,2,1,Hybrid,1,4.903781175613403,195,197,155.08459059563728
3.5,2,2,GoalBias,1,2.8443920612335205,75,161,113.15442343524875
3.5,2,2,RRT*,1,8.657755136489868,401,388,160.4927443084618
3.5,2,2,Hybrid,1,8.940820932388306,249,224,138.9134647574818
3.5,2,3,Hybrid,1,2.629061222076416,129,122,127.90830746779672
3.5,2,3,RRT*,1,13.787827968597412,603,473,240.60834173461285
3.5,2,4,RRT*,1,8.72825312614441,434,333,147.10898391168138
3.5,2,3,GoalBias,1,16.958059072494507,793,482,203.73256370087714
3.5,2,4,GoalBias,1,8.782471895217896,251,300,140.82201391005776
3.5,2,5,RRT*,1,4.37438178062439,168,251,125.04009238112717
3.5,2,5,GoalBias,1,6.886574029922485,393,270,211.50904651988867
3.5,2,4,Hybrid,1,12.610774755477905,374,320,114.29895630071063
3.5,2,5,Hybrid,1,10.659028053283691,437,330,161.95064166416606
3.5,2,6,GoalBias,1,6.881157159805298,373,285,190.83991015022121
3.5,2,7,RRT*,1,14.98707890510559,607,516,183.765263809941
3.5,2,6,RRT*,1,37.60487198829651,1484,831,187.78946025161363
3.5,2,7,Hybrid,1,8.410300254821777,233,202,147.89656620215916
