experiment,level,map_seed,planner_seed,method,variant,success,planning_time,first_solution_iteration,node_count,path_length,reverse_length,switch_count
sensitivity,tangent_extension=4,0,14,Hybrid,tangent_extension,1,4.761657953262329,127,160,114.0146172048654,0.0,0
sensitivity,tangent_extension=4,0,19,Hybrid,tangent_extension,1,2.7807059288024902,128,152,135.60025411821505,0.0,0
sensitivity,tangent_extension=6,0,2,Hybrid,tangent_extension,1,1.6901886463165283,94,117,126.91971100991577,0.0,0
sensitivity,tangent_extension=6,0,3,Hybrid,tangent_extension,1,1.3532872200012207,85,95,154.42681671676135,0.0,0
sensitivity,tangent_extension=6,0,0,Hybrid,tangent_extension,1,3.1878247261047363,83,136,143.95573659072394,0.0,0
sensitivity,tangent_extension=6,0,5,Hybrid,tangent_extension,1,1.3313770294189453,54,98,159.56443153871402,0.0,0
sensitivity,tangent_extension=6,0,4,Hybrid,tangent_extension,1,2.014007091522217,125,120,139.19385088420077,0.0,0
sensitivity,tangent_extension=6,0,6,Hybrid,tangent_extension,1,1.3948659896850586,130,101,134.5241388908741,0.0,0
sensitivity,tangent_extension=6,0,8,Hybrid,tangent_extension,1,1.2815611362457275,66,99,151.26869413461174,0.0,0
sensitivity,tangent_extension=6,0,9,Hybrid,tangent_extension,1,1.1688032150268555,59,92,141.83756342185293,0.0,0
sensitivity,tangent_extension=6,0,7,Hybrid,tangent_extension,1,2.7336440086364746,100,134,144.0543731488296,0.0,0
sensitivity,tangent_extension=6,0,10,Hybrid,tangent_extension,1,1.6771719455718994,94,136,116.45395340160475,0.0,0
sensitivity,tangent_extension=6,0,11,Hybrid,tangent_extension,1,1.653813123703003,65,102,113.99098893588825,0.0,0
sensitivity,tangent_extension=6,0,12,Hybrid,tangent_extension,1,2.0973281860351562,129,138,134.56265346231277,0.0,0
sensitivity,tangent_extension=6,0,13,Hybrid,tangent_extension,1,2.18243408203125,231,138,122.43616069944979,0.0,0
sensitivity,tangent_extension=6,0,16,Hybrid,tangent_extension,1,1.0752389430999756,95,97,117.10067911979478,0.0,0
sensitivity,tangent_extension=6,0,15,Hybrid,tangent_extension,1,1.8255438804626465,134,128,149.4798272772391,0.0,0
sensitivity,tangent_extension=6,0,17,Hybrid,tangent_extension,1,1.0341339111328125,60,88,123.27935700792219,0.0,0
sensitivity,tangent_extension=6,0,18,Hybrid,tangent_extension,1,1.8516981601715088,105,147,93.57753788411796,0.0,0
sensitivity,tangent_extension=6,0,19,Hybrid,tangent_extension,1,1.6722309589385986,74,110,190.41879183685188,0.0,0
