success,path_length,travel_time,planning_ms,mean_curvature,max_curvature,smoothness,min_static_clearance,min_dynamic_clearance,scene,split,difficulty,method,footprint_collisions
0,1.0575000000000006,3.5,296.93616700023995,0.35923439173787813,0.40558721647824947,0.011929035778772043,0.8001913833577572,15.232320168663156,23,test,hard,Hybrid A*+TEB,0
0,14.664570668449608,25.6,1.693541998974979,0.18689288579260332,0.40558721647824947,0.011629120900482225,0.8001913833577572,10.57040665929726,23,test,hard,Greedy+APF,0
0,0.6299999999999985,1.3,239.0188749996014,0.24959213321738463,0.40558721647824947,0.03379893470652107,0.8944271909999164,15.637962763376963,23,test,hard,RCRA*+DWA,0
0,15.456864269807184,26.700000000000003,0.40091699702315964,0.18318574359389833,0.40558721647824947,0.011090320339930005,0.6217731493176808,10.119422265939683,23,test,hard,A*+UA,36
0,40.635000000000005,180.0,2.8067919993191026,0.40513656401549564,0.40558721647824947,0.00022545148220024986,0.003667668505423667,2.7195716796096137,23,test,hard,RCRA*+UA (Ours),1009
0,0.08999999999999986,0.1,221.35595899817417,0.0,0.0,0,0.3999999999999999,16.09760541198597,24,test,simple,A*+DWA,1
0,0.08999999999999986,0.1,267.26466699983575,0.0,0.0,0,0.3999999999999999,16.09760541198597,24,test,simple,Hybrid A*+TEB,1
0,40.76999999999998,180.0,24.618832998385187,0.4046859115527421,0.40558721647824947,0.00022545148220024986,0.004350975116698317,8.129150460088075,24,test,simple,Greedy+APF,1385
0,0.08999999999999986,0.1,232.80337500182213,0.0,0.0,0,0.3999999999999999,16.09760541198597,24,test,simple,RCRA*+DWA,1
0,0.0,0.0,4.154666999966139,0.0,0.0,0,0.3999999999999999,16.144348856488453,24,test,simple,A*+UA,1
0,0.0,0.0,15.58291699984693,0.0,0.0,0,0.3999999999999999,16.144348856488453,24,test,simple,RCRA*+UA (Ours),1
0,1.5974999999999935,3.5,239.84945800111745,0.266528742257136,0.40558721647824947,0.01192903577877229,0.22353862134025207,11.087962055654728,25,test,moderate,A*+DWA,35
0,4.727233081264849,18.900000000000002,309.03754199971445,0.3745204994064489,0.40558721647824947,0.015195258611447361,0.17889932641579212,7.226905884924536,25,test,moderate,Hybrid A*+TEB,65
