density,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
30,1,4,GoalBias,1,3.1198830604553223,124,147,157.13707182022947
30,1,4,Hybrid,1,2.539594888687134,53,99,115.51462999397478
30,1,5,RRT*,1,5.3477418422698975,168,209,166.45454428435835
30,1,5,GoalBias,1,4.570458889007568,202,162,158.22863792663932
30,1,5,Hybrid,1,7.700681924819946,514,198,150.19989821403223
30,1,6,RRT*,1,4.674860000610352,128,164,129.01594011113852
30,1,6,GoalBias,1,3.0094690322875977,56,108,136.19543255492553
30,1,6,Hybrid,1,2.0464000701904297,46,89,119.64489983680807
30,1,7,RRT*,1,4.96274995803833,185,190,156.7134737344203
30,1,7,GoalBias,1,2.7175753116607666,47,107,145.04200530999884
30,1,7,Hybrid,1,5.209547996520996,469,151,154.97450849425041
30,1,8,RRT*,1,5.60729718208313,214,216,139.71832098725898
30,1,8,GoalBias,1,8.626723051071167,285,247,114.45030546454083
30,1,8,Hybrid,1,2.2062270641326904,117,95,149.50082891044
30,1,9,RRT*,1,15.567137002944946,460,442,135.16427455016128
30,1,9,GoalBias,1,2.5499660968780518,64,114,156.04401885485703
30,1,9,Hybrid,1,7.061589002609253,378,221,152.9532036662254
30,2,0,RRT*,1,7.993618965148926,229,212,130.99278778195318
30,2,0,GoalBias,1,11.161361932754517,636,289,128.70208088375438
30,2,0,Hybrid,1,34.06922483444214,356,350,165.82529064121434
30,2,1,RRT*,1,13.864782094955444,479,472,213.25094202234942
30,2,1,GoalBias,1,3.8311009407043457,130,163,128.97161336169694
30,2,1,Hybrid,1,48.55156683921814,328,392,136.4664179944553
30,2,2,RRT*,1,20.58257293701172,636,608,138.82940270249742
30,2,2,GoalBias,1,4.926145792007446,146,203,142.292326898928
30,2,2,Hybrid,1,9.98423719406128,116,219,120.86550386194378
30,2,3,RRT*,1,12.957273006439209,423,422,141.83701819286958
30,2,3,GoalBias,1,17.833438873291016,768,515,178.01679309351087
30,2,3,Hybrid,1,36.223546743392944,259,305,139.63196857098995
30,2,4,RRT*,1,3.877011775970459,97,178,160.95437049342843
30,2,4,GoalBias,1,19.568507194519043,877,600,158.1580485543976
30,2,4,Hybrid,1,104.99165797233582,558,549,156.65794153326829
30,2,5,RRT*,1,10.793426752090454,374,418,122.71136663541502
30,2,5,GoalBias,1,4.276148080825806,136,165,141.9057961539984
30,2,5,Hybrid,1,95.93512392044067,854,726,218.9041995387394
30,2,6,RRT*,1,6.860960960388184,222,232,190.0150995591442
30,2,6,GoalBias,1,6.650856256484985,318,237,131.2410561484371
30,2,6,Hybrid,1,65.89333415031433,330,390,132.0866294962558
30,2,7,RRT*,1,3.323439121246338,78,150,119.20926840591224
30,2,7,GoalBias,1,5.426285743713379,176,186,120.78468585647362
30,2,7,Hybrid,1,11.475697755813599,118,199,121.72295366607057
30,2,8,RRT*,1,8.429780960083008,241,301,156.5498412669177
30,2,8,GoalBias,1,2.880687952041626,77,130,117.3618769942527
30,2,8,Hybrid,1,27.30259609222412,438,462,115.29896242696
30,2,9,RRT*,1,11.117193937301636,435,343,187.22360305223472
30,2,9,GoalBias,1,10.584421873092651,552,314,128.53500876341465
30,2,9,Hybrid,1,14.932492971420288,135,217,139.33611923246102
30,3,0,RRT*,1,28.534884929656982,765,748,145.55459758160413
30,3,0,GoalBias,1,12.925933837890625,554,408,153.3182237038862
30,3,0,Hybrid,1,2.1436119079589844,46,79,148.42440250409322
30,3,1,RRT*,1,8.839298009872437,314,287,119.75328597866658
30,3,1,GoalBias,1,8.30068588256836,332,245,138.88770699196095
30,3,1,Hybrid,1,1.8776960372924805,65,87,142.3891434730353
30,3,2,RRT*,1,9.720367670059204,376,336,135.3479758299981
30,3,2,GoalBias,1,5.302300930023193,152,177,104.31417917213547
30,3,2,Hybrid,1,2.011810064315796,111,83,146.63692617252093
30,3,3,RRT*,1,16.908715963363647,553,534,184.69543435222909
30,3,3,GoalBias,1,3.09555721282959,100,139,154.90443812033917
30,3,3,Hybrid,1,1.7508652210235596,88,72,149.64659535434313
30,3,4,RRT*,0,,,,
30,3,4,GoalBias,0,,,,
30,3,4,Hybrid,1,2.046797037124634,53,93,108.92667915047217
30,3,5,RRT*,1,14.065311908721924,505,440,180.82550185299752
30,3,5,GoalBias,1,22.242788791656494,620,583,155.6130556526302
30,3,5,Hybrid,1,13.069669961929321,174,238,168.82067179999223
30,3,6,RRT*,1,5.406222105026245,202,196,144.22833076630556
