overlap,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
20,3,7,GoalBias,1,18.663718938827515,623,422,173.81977342464677
20,4,0,GoalBias,1,2.933177947998047,62,116,131.74038603199156
20,4,0,Hybrid,1,3.078673839569092,98,122,116.83775975831831
20,4,1,GoalBias,1,3.8934788703918457,121,150,131.2522848651303
20,4,1,Hybrid,1,3.65026593208313,100,119,125.09623733164686
20,3,9,GoalBias,1,23.678262948989868,544,552,169.42372726797217
20,4,1,RRT*,1,11.783422946929932,328,342,167.61077838553393
20,4,2,GoalBias,1,5.0607030391693115,163,159,124.9776839859429
20,4,0,RRT*,1,24.778510093688965,638,611,166.03176390101703
20,4,2,Hybrid,1,9.257899045944214,255,158,109.94808554466246
20,4,3,GoalBias,1,5.262204170227051,86,145,151.81328430462676
20,4,3,Hybrid,1,5.577081918716431,120,137,116.92352093962366
20,4,3,RRT*,1,16.641743183135986,380,402,132.1977991388243
20,4,4,RRT*,1,9.936828136444092,265,248,155.85583804668144
